OTU_1,,root,root,1,Eukaryota,superkingdom,1,Cnidaria,phylum,0.38,Hydrozoa,class,0.38,Anthoathecata,order,0.18,Pennariidae,family,0.17,Pennaria,genus,0.17,Pennaria disticha,species,0.17
OTU_2,,root,root,1,Eukaryota,superkingdom,1,Arthropoda,phylum,0.56,Arachnida,class,0.36,Araneae,order,0.32,Agelenidae,family,0.06,Aterigena,genus,0.04,Aterigena aliquoi,species,0.04
OTU_3,,root,root,1,Eukaryota,superkingdom,1,Chordata,phylum,0.32,Ascidiacea,class,0.27,Enterogona,order,0.27,Ascidiidae,family,0.27,Ascidia,genus,0.27,Ascidia ahodori,species,0.27
OTU_4,,root,root,1,Eukaryota,superkingdom,1,Cnidaria,phylum,0.34,Anthozoa,class,0.13,Alcyonacea,order,0.12,Nephtheidae,family,0.1,Scleronephthya,genus,0.1,Scleronephthya gracillimum,species,0.1
OTU_5,,root,root,1,Eukaryota,superkingdom,1,Cnidaria,phylum,0.35,Anthozoa,class,0.15,Alcyonacea,order,0.15,Nephtheidae,family,0.1,Scleronephthya,genus,0.1,Scleronephthya gracillimum,species,0.1
OTU_6,,root,root,1,Eukaryota,superkingdom,1,Arthropoda,phylum,0.52,Arachnida,class,0.11,Ixodida,order,0.05,Ixodidae,family,0.05,Rhipicephalus,genus,0.05,Rhipicephalus australis,species,0.05
OTU_7,,root,root,1,Eukaryota,superkingdom,1,Arthropoda,phylum,0.58,Maxillopoda,class,0.12,Calanoida,order,0.07,Pontellidae,family,0.07,Pontella,genus,0.06,Pontella rostraticauda,species,0.06
OTU_8,,root,root,1,Eukaryota,superkingdom,1,Cnidaria,phylum,0.29,Anthozoa,class,0.26,Alcyonacea,order,0.09,Isididae,family,0.05,Acanella,genus,0.05,Acanella eburnea,species,0.05
OTU_9,,root,root,1,Eukaryota,superkingdom,1,Arthropoda,phylum,0.62,Maxillopoda,class,0.08,Sessilia,order,0.08,Balanidae,family,0.08,Balanus,genus,0.08,Balanus balanus,species,0.08
OTU_10,,root,root,1,Eukaryota,superkingdom,1,Cnidaria,phylum,0.39,Hydrozoa,class,0.24,Siphonophorae,order,0.13,Agalmatidae,family,0.12,Marrus,genus,0.11,Marrus orthocanna,species,0.11
OTU_11,,root,root,1,Eukaryota,superkingdom,1,Cnidaria,phylum,0.4,Hydrozoa,class,0.14,Anthoathecata,order,0.08,Pennariidae,family,0.06,Pennaria,genus,0.06,Pennaria disticha,species,0.06
OTU_12,,root,root,1,Eukaryota,superkingdom,1,Cnidaria,phylum,0.17,Anthozoa,class,0.13,Alcyonacea,order,0.08,Nephtheidae,family,0.05,Paralemnalia,genus,0.05,Paralemnalia digitiformis,species,0.05
OTU_13,,root,root,1,Eukaryota,superkingdom,1,Annelida,phylum,0.17,Polychaeta,class,0.17,Terebellida,order,0.17,Alvinellidae,family,0.17,Paralvinella,genus,0.17,Paralvinella sulfincola,species,0.17
OTU_14,,root,root,1,Eukaryota,superkingdom,1,Arthropoda,phylum,0.47,Arachnida,class,0.12,Ixodida,order,0.07,Ixodidae,family,0.04,Rhipicephalus,genus,0.04,Rhipicephalus australis,species,0.03
OTU_15,,root,root,1,Eukaryota,superkingdom,1,Chordata,phylum,0.42,Ascidiacea,class,0.42,Enterogona,order,0.42,Ascidiidae,family,0.42,Ascidia,genus,0.42,Ascidia ahodori,species,0.42
OTU_16,,root,root,1,Eukaryota,superkingdom,1,Arthropoda,phylum,0.74,Insecta,class,0.36,Hymenoptera,order,0.04,Braconidae,family,0.02,Marshiella,genus,0.01,Marshiella bobella,species,0.01
OTU_17,,root,root,1,Eukaryota,superkingdom,1,Cnidaria,phylum,0.26,Anthozoa,class,0.11,Scleractinia,order,0.1,Pocilloporidae,family,0.1,Pocillopora,genus,0.1,Pocillopora eydouxi,species,0.1
OTU_18,,root,root,1,Eukaryota,superkingdom,1,Mollusca,phylum,0.09,Gastropoda,class,0.09,Planorbidae,family,0.02,Choanomphalus,genus,0.02,Choanomphalus amauronius,species,0.01,,,
OTU_20,,root,root,1,Eukaryota,superkingdom,1,Arthropoda,phylum,0.45,Insecta,class,0.31,Lepidoptera,order,0.05,Noctuidae,family,0.01,Targallodes,genus,0.01,Targallodes vittalba,species,0.01
OTU_21,,root,root,1,Eukaryota,superkingdom,1,Arthropoda,phylum,0.95,Insecta,class,0.61,Lepidoptera,order,0.11,Incurvariidae,family,0,Vespina,genus,0,Vespina quercivora,species,0
